model,mode,image,n_gt,n_det25,tp25,fp25
v2_deployed,color,DT (165).jpg,1,1,0,1
v2_deployed,color,DT (19).jpg,1,1,0,1
v2_deployed,color,DT (526).jpg,1,2,0,2
v2_deployed,color,DT (151).jpg,1,0,0,0
v2_deployed,color,DT (276).jpg,1,1,0,1
v2_deployed,color,DT (528).jpg,1,3,0,3
v2_deployed,color,DT (22).jpg,1,1,0,1
v2_deployed,color,DT (56).jpg,1,1,0,1
v2_deployed,color,DT (229).jpg,1,2,0,2
v2_deployed,color,DT (366).jpg,1,1,0,1
v2_deployed,color,DT (387).jpg,1,2,0,2
v2_deployed,color,DT (218).jpg,1,1,0,1
v2_deployed,color,DT (160).jpg,1,1,0,1
v2_deployed,color,DT (295).jpg,1,1,0,1
v2_deployed,color,DT (356).jpg,1,1,0,1
v2_deployed,color,DT (281).jpg,1,1,0,1
v2_deployed,color,DT (180).jpg,1,0,0,0
v2_deployed,color,DT (114).jpg,1,1,0,1
v2_deployed,color,DT (506).jpg,1,6,0,6
v2_deployed,color,DT (459).jpg,1,0,0,0
v2_deployed,color,DT (343).jpg,1,2,0,2
v2_deployed,color,DT (237).jpg,1,1,0,1
v2_deployed,color,DT (122).jpg,1,0,0,0
v2_deployed,color,DT (194).jpg,1,0,0,0
v2_deployed,color,DT (27).jpg,1,2,0,2
v2_deployed,color,DT (351).jpg,1,1,0,1
v2_deployed,color,DT (260).jpg,1,1,0,1
v2_deployed,color,DT (283).jpg,1,1,0,1
v2_deployed,color,DT (234).jpg,1,1,0,1
v2_deployed,color,DT (400).jpg,1,2,0,2
v2_deployed,color,DT (197).jpg,1,0,0,0
v2_deployed,color,DT (401).jpg,1,2,0,2
v2_deployed,color,DT (15).jpg,1,2,0,2
v2_deployed,color,DT (40).jpg,1,2,0,2
v2_deployed,color,DT (26).jpg,1,2,0,2
v2_deployed,color,DT (450).jpg,1,3,0,3
v2_deployed,color,DT (399).jpg,1,2,0,2
v2_deployed,color,DT (215).jpg,1,2,0,2
v2_deployed,color,DT (272).jpg,1,1,0,1
v2_deployed,color,DT (211).jpg,1,1,0,1
v2_deployed,color,DT (240).jpg,1,1,0,1
v2_deployed,color,DT (311).jpg,1,1,0,1
v2_deployed,color,DT (236).jpg,1,1,0,1
v2_deployed,color,DT (53).jpg,1,2,0,2
v2_deployed,color,DT (221).jpg,1,1,0,1
v2_deployed,color,DT (417).jpg,1,1,0,1
v2_deployed,color,DT (318).jpg,1,1,0,1
v2_deployed,color,DT (380).jpg,1,3,0,3
v2_deployed,color,DT (64).jpg,1,2,0,2
v2_deployed,color,DT (203).jpg,1,0,0,0
v2_deployed,color,DT (353).jpg,1,0,0,0
v2_deployed,color,DT (37).jpg,1,3,0,3
v2_deployed,color,DT (376).jpg,1,4,0,4
v2_deployed,color,DT (451).jpg,1,2,0,2
v2_deployed,color,DT (216).jpg,1,1,0,1
v2_deployed,color,DT (302).jpg,1,1,0,1
v2_deployed,color,DT (139).jpg,1,1,0,1
v2_deployed,color,DT (83).jpg,1,4,0,4
v2_deployed,color,DT (157).jpg,1,1,0,1
v2_deployed,color,DT (359).jpg,1,1,0,1
v2_deployed,color,DT (91).jpg,1,4,0,4
v2_deployed,color,DT (460).jpg,1,0,0,0
v2_deployed,color,DT (472).jpg,1,0,0,0
v2_deployed,color,DT (120).jpg,1,0,0,0
v2_deployed,color,DT (493).jpg,1,2,0,2
v2_deployed,color,DT (181).jpg,1,0,0,0
v2_deployed,color,DT (217).jpg,1,1,0,1
v2_deployed,color,DT (444).jpg,1,3,0,3
v2_deployed,color,DT (524).jpg,1,1,0,1
v2_deployed,color,DT (175).jpg,1,0,0,0
v2_deployed,color,DT (336).jpg,1,2,0,2
v2_deployed,color,DT (123).jpg,1,2,0,2
v2_deployed,color,DT (155).jpg,1,0,0,0
v2_deployed,color,DT (150).jpg,1,0,0,0
v2_deployed,color,DT (411).jpg,1,1,0,1
v2_deployed,color,DT (268).jpg,1,1,0,1
v2_deployed,color,DT (448).jpg,1,1,0,1
v2_deployed,color,DT (273).jpg,1,1,0,1
v2_deployed,color,DT (45).jpg,1,2,0,2
v2_deployed,color,DT (10).jpg,1,3,0,3
v2_deployed,color,DT (143).jpg,1,1,0,1
v2_deployed,color,DT (525).jpg,1,1,0,1
v2_deployed,color,DT (124).jpg,1,1,0,1
v2_deployed,color,DT (269).jpg,1,1,0,1
v2_deployed,color,DT (62).jpg,1,2,0,2
v2_deployed,color,DT (329).jpg,1,2,0,2
v2_deployed,color,DT (44).jpg,1,2,0,2
v2_deployed,color,DT (69).jpg,1,3,0,3
v2_deployed,color,DT (277).jpg,1,1,0,1
v2_deployed,color,DT (507).jpg,1,5,0,5
v2_deployed,color,DT (294).jpg,1,1,0,1
v2_deployed,color,DT (301).jpg,1,1,0,1
v2_deployed,color,DT (458).jpg,1,0,0,0
v2_deployed,color,DT (439).jpg,1,4,1,3
v2_deployed,color,DT (496).jpg,1,2,0,2
v2_deployed,color,DT (406).jpg,1,2,0,2
v2_deployed,color,DT (314).jpg,1,1,0,1
v2_deployed,color,DT (251).jpg,1,1,0,1
v2_deployed,color,DT (285).jpg,1,1,0,1
v2_deployed,color,DT (397).jpg,1,2,0,2
v2_deployed,color,DT (504).jpg,1,3,0,3
v2_deployed,color,DT (111).jpg,1,0,0,0
v2_deployed,color,DT (491).jpg,1,0,0,0
v2_deployed,color,DT (112).jpg,1,1,0,1
v2_deployed,color,DT (433).jpg,1,0,0,0
v2_deployed,color,DT (192).jpg,1,0,0,0
v2_deployed,color,DT (299).jpg,1,1,0,1
v2_deployed,color,DT (138).jpg,1,0,0,0
v2_deployed,color,DT (363).jpg,1,1,0,1
v2_deployed,color,DT (213).jpg,1,1,0,1
v2_deployed,color,DT (322).jpg,1,2,0,2
v2_deployed,color,DT (66).jpg,1,3,0,3
v2_deployed,color,DT (410).jpg,1,2,0,2
v2_deployed,color,DT (235).jpg,1,1,0,1
v2_deployed,color,DT (205).jpg,1,0,0,0
v2_deployed,color,DT (59).jpg,1,1,0,1
v2_deployed,color,DT (288).jpg,1,1,0,1
v2_deployed,color,DT (377).jpg,1,4,0,4
v2_deployed,color,DT (28).jpg,1,3,0,3
v2_deployed,color,DT (224).jpg,1,1,0,1
v2_deployed,color,DT (92).jpg,1,3,0,3
v2_deployed,color,DT (247).jpg,1,2,0,2
v2_deployed,color,DT (198).jpg,1,0,0,0
v2_deployed,color,DT (119).jpg,1,1,0,1
v2_deployed,color,DT (421).jpg,1,1,0,1
v2_deployed,color,DT (513).jpg,1,3,0,3
v2_deployed,color,DT (441).jpg,1,0,0,0
v2_deployed,color,DT (405).jpg,1,2,0,2
v2_deployed,color,DT (333).jpg,1,2,0,2
v2_deployed,color,DT (335).jpg,1,2,0,2
v2_deployed,color,DT (78).jpg,1,4,0,4
v2_deployed,color,DT (33).jpg,1,1,0,1
v2_deployed,color,DT (292).jpg,1,1,0,1
v2_deployed,color,DT (435).jpg,1,2,0,2
v2_deployed,color,DT (490).jpg,1,0,0,0
v2_deployed,color,DT (230).jpg,1,2,0,2
v2_deployed,color,DT (338).jpg,1,1,0,1
v2_deployed,color,DT (266).jpg,1,1,0,1
v2_deployed,color,DT (357).jpg,1,2,0,2
v2_deployed,color,DT (305).jpg,1,1,0,1
v2_deployed,color,DT (31).jpg,1,1,0,1
v2_deployed,color,DT (99).jpg,1,3,0,3
v2_deployed,color,DT (398).jpg,1,2,0,2
v2_deployed,color,DT (432).jpg,1,2,0,2
v2_deployed,color,DT (176).jpg,1,0,0,0
v2_deployed,color,DT (347).jpg,1,1,0,1
v2_deployed,color,DT (133).jpg,1,2,0,2
v2_deployed,color,DT (388).jpg,1,2,0,2
v2_deployed,color,DT (100).jpg,1,1,0,1
v2_deployed,color,DT (418).jpg,1,2,0,2
v2_deployed,color,DT (518).jpg,1,4,0,4
v2_deployed,color,DT (147).jpg,1,1,0,1
v2_deployed,color,DT (462).jpg,1,0,0,0
v2_deployed,color,DT (222).jpg,1,1,0,1
v2_deployed,color,DT (483).jpg,1,0,0,0
v2_deployed,color,DT (2).jpg,1,1,0,1
v2_deployed,color,DT (204).jpg,1,0,0,0
v2_deployed,color,DT (479).jpg,1,0,0,0
v2_deployed,color,DT (275).jpg,1,1,0,1
v2_deployed,color,DT (257).jpg,1,1,0,1
v2_deployed,color,DT (494).jpg,1,2,0,2
v2_deployed,color,DT (183).jpg,1,0,0,0
v2_deployed,color,DT (298).jpg,1,1,0,1
v2_deployed,color,DT (9).jpg,1,2,0,2
v2_deployed,color,DT (89).jpg,1,3,0,3
v2_deployed,color,DT (146).jpg,1,0,0,0
v2_deployed,color,DT (466).jpg,1,0,0,0
v2_deployed,color,DT (108).jpg,1,1,0,1
v2_deployed,color,DT (102).jpg,1,1,0,1
v2_deployed,color,DT (423).jpg,1,2,0,2
v2_deployed,color,DT (134).jpg,1,3,0,3
v2_deployed,color,DT (372).jpg,1,1,0,1
v2_deployed,color,DT (179).jpg,1,0,0,0
v2_deployed,color,DT (248).jpg,1,1,0,1
